Event Name,Athlete Name,Team,Mark,Event Type
4x400,"Alyssa Fici, Christine Mallette, Faydia Thompson, Katie Manning",RPI (F),4:01.39#,Relay
DMR,"Abby Price, Emma Grace Ricketts, Haley Young, Claudia Wolf",RPI (F),13:06.70#,Relay
HJ,"Olaleye, Tooni",RPI (F),1.47m,Individual
PV,"Walsh, Siri",RPI (F),2.55m,Individual
LJ,"Manning, Katie",RPI (F),5.13m,Individual
TJ,"Hubbard, Julia",RPI (F),10.03m,Individual
SP,"Wells, Leanna",RPI (F),11.62m,Individual
WT,"Lynch, Katie",RPI (F),13.57m,Individual
Pent,"Raina, Halle",RPI (F),1985#,Individual
60,"Browne, Bianca",Austin Peay (F),7.64,Individual
200,"Banks, Isis",Austin Peay (F),25.26,Individual
300,"Banks, Isis",Austin Peay (F),41.33,Individual
400,"McGee, Mia",Austin Peay (F),56.03,Individual
800,"Lewis, Lauren",Austin Peay (F),2:09.17,Individual
Mile,"Lewis, Lauren",Austin Peay (F),5:12.37,Individual
3000,"Foster, Shaye",Austin Peay (F),10:40.19,Individual
5000,"Doyle, Ashley",Austin Peay (F),18:13.81,Individual
4x400,"Mia McGee, Celeania Rollerson, Alexis Arnett, Lauren Lewis",Austin Peay (F),3:49.37,Relay
DMR,"Mary Kate French, Sydney Hartoin, Shaye Foster, Savannah Fruth",Austin Peay (F),12:49.04,Relay
PV,"Eriksson, Myra",Austin Peay (F),3.52m,Individual
TJ,"Eriksson, Myra",Austin Peay (F),10.99m,Individual
SP,"Tucker, Emma",Austin Peay (F),12.34m,Individual
WT,"Tucker, Emma",Austin Peay (F),14.78m,Individual
55,"Jawornicki, Olivier",Emory (M),6.95,Individual
60,"Ryba, Sam",Emory (M),6.95,Individual
200,"Price, Jackson",Emory (M),21.96,Individual
300,"Price, Jackson",Emory (M),35.71,Individual
400,"Greene, Graham",Emory (M),48.36,Individual
600,"Belz, Chris",Emory (M),1:21.56,Individual
800,"Dean, Dawit",Emory (M),1:51.76,Individual
1000,"Belz, Chris",Emory (M),2:36.19,Individual
Mile,"Watry, Spencer",Emory (M),4:08.69,Individual
3000,"Thompson, Ethan",Emory (M),8:16.13#,Individual
5000,"Thompson, Ethan",Emory (M),14:24.26,Individual
60H,"Huang, Jason",Emory (M),8.50,Individual
4x200,"Jackson Price, Graham Greene, Dawit Dean, Henry Brandstadter",Emory (M),1:29.92,Relay
4x400,"Graham Greene, Theodore Drye, Bryce Wurster, Dawit Dean",Emory (M),3:17.46,Relay
DMR,"Marcus Cheema, Graham Greene, Dawit Dean, Spencer Watry",Emory (M),9:45.90#,Relay
HJ,"Brandstadter, Henry",Emory (M),1.98m,Individual
PV,"Ditelberg, Steven",Emory (M),4.20m,Individual
LJ,"Brandstadter, Henry",Emory (M),7.47m,Individual
TJ,"Stumbris, Simon",Emory (M),14.18m,Individual
SP,"Sei, Kenya",Emory (M),12.91m,Individual
WT,"Sei, Kenya",Emory (M),18.49m,Individual
55,"Dianno, Maura",Emory (F),7.52,Individual
60,"Johnson, Audrey",Emory (F),7.69,Individual
200,"Johnson, Audrey",Emory (F),25.11,Individual
300,"Leopold, Mina",Emory (F),42.12,Individual
400,"Harris, Dashiel Tao",Emory (F),59.39,Individual
600,"Ranocha, Libby",Emory (F),1:35.48,Individual
800,"Ranocha, Libby",Emory (F),2:11.18,Individual
1000,"Ranocha, Libby",Emory (F),2:57.74,Individual
Mile,"Taylor, Lily",Emory (F),5:05.11,Individual
3000,"Hanley, Brigid",Emory (F),9:36.88,Individual
5000,"Hanley, Brigid",Emory (F),17:08.61,Individual
60H,"Boon, Nikki",Emory (F),8.92,Individual
4x200,"Audrey Johnson, Kaya Binetti, Mina Leopold, Libby Ranocha",Emory (F),1:44.42,Relay
4x400,"Audrey Johnson, Libby Ranocha, Hannah Riley, Nikki Boon",Emory (F),3:51.58,Relay
DMR,"Lily Taylor, Annabelle Tanner, Hannah Riley, Brigid Hanley",Emory (F),11:41.71,Relay
HJ,"Wang, Linda",Emory (F),1.58m,Individual
PV,"Riley, Hannah",Emory (F),3.67m,Individual
LJ,"Boon, Nikki",Emory (F),5.86m,Individual
TJ,"Hansen, Caroline",Emory (F),11.87m,Individual
SP,"Boon, Nikki",Emory (F),12.86m,Individual
WT,"Fineman, Sarah",Emory (F),11.10m,Individual
Pent,"Boon, Nikki",Emory (F),3697#,Individual
800,"Kuiper, Clay",Central Michigan (M),1:58.18,Individual
Mile,"White, Carson",Central Michigan (M),4:16.44,Individual
3000,"White, Carson",Central Michigan (M),8:34.22,Individual
5000,"Leitner, Ethan",Central Michigan (M),14:57.63,Individual
60,"Korytkowski, Peyton",Central Michigan (F),7.72,Individual
200,"Sabourin, Payton",Central Michigan (F),24.98,Individual
400,"Sabourin, Payton",Central Michigan (F),56.05,Individual
600,"Turner, Anya",Central Michigan (F),1:36.63,Individual
800,"Turner, Anya",Central Michigan (F),2:10.51,Individual
Mile,"Paupore, Emily",Central Michigan (F),4:45.46#,Individual
3000,"Paupore, Emily",Central Michigan (F),9:22.66,Individual
5000,"Paupore, Emily",Central Michigan (F),16:09.39#,Individual
60H,"Korytkowski, Peyton",Central Michigan (F),8.65,Individual
4x400,"Payton Sabourin, Ericka Bigham, Peyton Korytkowski, Emma Fountain",Central Michigan (F),3:52.67,Relay
DMR,"Natalie Newcombe, Peyton Korytkowski, Anya Turner, Emily Paupore",Central Michigan (F),11:34.49,Relay
PV,"Yoshino, Emily",Central Michigan (F),3.61m,Individual
LJ,"Daniel, Sarah",Central Michigan (F),5.66m,Individual
TJ,"Horn, Angelina",Central Michigan (F),11.65m,Individual
SP,"Mclean, Emily",Central Michigan (F),14.05m,Individual
WT,"Merrick, Victoria",Central Michigan (F),15.95m,Individual
55,"Shain, Ethan",Southern Maine (M),6.43,Individual
60,"Shain, Ethan",Southern Maine (M),6.84,Individual
200,"Garey, Nick",Southern Maine (M),22.83,Individual
300,"Garey, Nick",Southern Maine (M),36.33,Individual
400,"Cahill, Maddox",Southern Maine (M),49.92,Individual
500,"Evans, Cyrus",Southern Maine (M),1:07.13,Individual
600,"Evans, Cyrus",Southern Maine (M),1:24.72,Individual
800,"Pecoraro, Jack",Southern Maine (M),1:55.63,Individual
1000,"Pecoraro, Jack",Southern Maine (M),2:35.27,Individual
Mile,"Pecoraro, Jack",Southern Maine (M),4:26.18#,Individual
3000,"Cyr, Michael",Southern Maine (M),9:02.50#,Individual
5000,"O'Donnell, Anthony",Southern Maine (M),16:17.16#,Individual
55H,"D'Amico, Michael",Southern Maine (M),8.21,Individual
60H,"D'Amico, Michael",Southern Maine (M),8.84(55),Individual
4x200,"Nick Garey, Maddox Cahill, Chris Hatch, Nolan Winslow",Southern Maine (M),1:31.82,Relay
4x400,"Maddox Cahill, Trevor Grenier, Jonathan Dalessandro, Nick Garey",Southern Maine (M),3:24.63,Relay
4x800,"Cyrus Evans, Aidan Pecoraro, Michael Cyr, Jack Pecoraro",Southern Maine (M),8:19.39,Relay
DMR,"Aidan Pecoraro, Cyrus Evans, Jack Pecoraro, Michael Cyr",Southern Maine (M),10:52.40#,Relay
HJ,"Burke, Christian",Southern Maine (M),1.93m,Individual
PV,"Drummey, Ben",Southern Maine (M),5.21m,Individual
LJ,"Flewelling, Corbin",Southern Maine (M),6.92m,Individual
TJ,"Flewelling, Corbin",Southern Maine (M),14.05m,Individual
SP,"Kaufman, Scott",Southern Maine (M),11.45m,Individual
WT,"Frey, Kaleb",Southern Maine (M),13.00m,Individual
Hep,"D'Amico, Michael",Southern Maine (M),4219#,Individual
55,"Young, Janiah",Southern Maine (F),7.36,Individual
60,"Young, Janiah",Southern Maine (F),7.93(55),Individual
200,"Young, Janiah",Southern Maine (F),25.61#,Individual
300,"Betty, Mackenzie",Southern Maine (F),48.27,Individual
400,"Conley, Heaven",Southern Maine (F),59.50#,Individual
500,"Karantza, Alexis",Southern Maine (F),1:19.08,Individual
600,"Karantza, Alexis",Southern Maine (F),1:42.34,Individual
800,"Fenley, Samantha",Southern Maine (F),2:18.69,Individual
1000,"Limberger, AnnMarie",Southern Maine (F),3:15.95,Individual
Mile,"Fenley, Samantha",Southern Maine (F),5:18.79#,Individual
3000,"Depolito, Lucy",Southern Maine (F),11:46.79#,Individual
5000,"Depolito, Lucy",Southern Maine (F),20:11.34#,Individual
55H,"Goldberg, Kiana",Southern Maine (F),8.30,Individual
60H,"Goldberg, Kiana",Southern Maine (F),8.87,Individual
4x200,"Janiah Young, Riley Reitchel, Alexis Karantza, Heaven Conley",Southern Maine (F),1:44.97,Relay
4x400,"Alexis Karantza, Mackenzie Betty, Samantha Fenley, Heaven Conley",Southern Maine (F),4:12.23#,Relay
4x800,"AnnMarie Limberger, Anabel Melanson, Whitney Davenport, Samantha Fenley",Southern Maine (F),10:09.47,Relay
DMR,"AnnMarie Limberger, Anabel Melanson, Whitney Davenport, Samantha Fenley",Southern Maine (F),13:20.91#,Relay
HJ,"Jalbert, Olivia",Southern Maine (F),1.57m,Individual
PV,"Reitchel, Riley",Southern Maine (F),3.25m,Individual
LJ,"Jalbert, Olivia",Southern Maine (F),5.33m,Individual
TJ,"Prock, Marie",Southern Maine (F),10.13m,Individual
SP,"Boudreau, Jaigan",Southern Maine (F),12.56m,Individual
WT,"Boudreau, Jaigan",Southern Maine (F),13.84m,Individual
60,"Rathe, Joel",Concordia (Neb.) (M),7.00,Individual
200,"Rathe, Joel",Concordia (Neb.) (M),22.42#,Individual
400,"Sugden, Colby",Concordia (Neb.) (M),49.65#,Individual
600,"Meyer, Teagan",Concordia (Neb.) (M),1:25.12#,Individual
800,"Willweber, Micah",Concordia (Neb.) (M),2:00.62#,Individual
1000,"Rohde, Calvin",Concordia (Neb.) (M),2:26.17#,Individual
Mile,"Rohde, Calvin",Concordia (Neb.) (M),4:10.63,Individual
3000,"Rohde, Calvin",Concordia (Neb.) (M),8:38.39#,Individual
5000,"Robertson, Trey",Concordia (Neb.) (M),15:39.96#,Individual
60H,"Kluthe, Hayden",Concordia (Neb.) (M),8.54,Individual
4x400,"Liam Fagan, Colby Sugden, Teagan Meyer, Hayden Kluthe",Concordia (Neb.) (M),3:26.23,Relay
4x800,"Calvin Rohde, Trevor Kuncl, Micah Willweber, Trey Robertson",Concordia (Neb.) (M),7:56.28#,Relay
DMR,"Trey Robertson, Colby Sugden, Trevor Kuncl, Calvin Rohde",Concordia (Neb.) (M),10:11.14#,Relay
HJ,"Sadd, Myles",Concordia (Neb.) (M),1.87m,Individual
PV,"Zohner, Zach",Concordia (Neb.) (M),5.25m,Individual
LJ,"Rathe, Joel",Concordia (Neb.) (M),7.24m,Individual
TJ,"Paulsen, Jonah",Concordia (Neb.) (M),13.92m,Individual
SP,"Semedo, Darien",Concordia (Neb.) (M),16.30m,Individual
WT,"Wren, Chris",Concordia (Neb.) (M),19.86m,Individual
Hep,"Lindburg, Jackson",Concordia (Neb.) (M),4054#,Individual
60,"Rodencal, Adrianna",Concordia (Neb.) (F),7.85,Individual
200,"Rodencal, Adrianna",Concordia (Neb.) (F),25.51,Individual
400,"Esch, Jenna",Concordia (Neb.) (F),56.97,Individual
600,"Esch, Jenna",Concordia (Neb.) (F),1:33.52,Individual
800,"Esch, Jenna",Concordia (Neb.) (F),2:13.54,Individual
1000,"Haecker, Rylee",Concordia (Neb.) (F),2:52.88,Individual
Mile,"Freiberg, Kylahn",Concordia (Neb.) (F),4:54.09,Individual
3000,"Freiberg, Kylahn",Concordia (Neb.) (F),10:00.58#,Individual
5000,"Freiberg, Kylahn",Concordia (Neb.) (F),17:40.14#,Individual
60H,"Rodencal, Adrianna",Concordia (Neb.) (F),8.55,Individual
4x400,"Jenna Esch, Kayla Kirchner, Trinity Tuls, Jordan Koepke",Concordia (Neb.) (F),3:48.14,Relay
4x800,"Jenna Esch, Rylee Haecker, Julie McIntyre, Kylahn Freiberg",Concordia (Neb.) (F),9:06.48,Relay
DMR,"Rylee Haecker, Isabelle Salters, Jenna Esch, Julie McIntyre",Concordia (Neb.) (F),12:11.86#,Relay
HJ,"Walker, Zoey",Concordia (Neb.) (F),1.68m,Individual
PV,"Puelz, Josie",Concordia (Neb.) (F),3.67m,Individual
LJ,"Miles, Hayley",Concordia (Neb.) (F),5.90m,Individual
TJ,"Noble, Josi",Concordia (Neb.) (F),11.45m,Individual
SP,"Gerber, Abigail",Concordia (Neb.) (F),14.12m,Individual
WT,"Wohlgemuth, Abi",Concordia (Neb.) (F),17.94m,Individual
Pent,"Noble, Josi",Concordia (Neb.) (F),3221#,Individual
60,"Zeigler, Roosevelt",Ashland (M),6.82,Individual
200,"Skinner, T.J.",Ashland (M),21.29,Individual
300,"Jackson, Brenden",Ashland (M),35.18,Individual
400,"Wood, Noah",Ashland (M),47.91,Individual
600,"Potter, Isaiah",Ashland (M),1:24.96,Individual
800,"Madison, Daylen",Ashland (M),1:49.01,Individual
1000,"Phelps, Dylan",Ashland (M),2:47.52,Individual
Mile,"Slater, Nate",Ashland (M),4:13.16,Individual
3000,"Geist, Braeden",Ashland (M),8:44.56,Individual
5000,"Geist, Braeden",Ashland (M),15:17.00,Individual
60H,"Skinner, T.J.",Ashland (M),7.80,Individual
4x400,"Brian Turner, Noah Wood, Brenden Jackson, Jacob Pielech",Ashland (M),3:12.95,Relay
DMR,"Daylen Madison, Brenden Jackson, Colton Thress, Nate Slater",Ashland (M),9:56.84,Relay
HJ,"Noel, Matthew",Ashland (M),2.09m,Individual
PV,"Baker, Garrett",Ashland (M),5.20m,Individual
LJ,"Hondred, Levi",Ashland (M),7.21m,Individual
TJ,"Morris , Caden",Ashland (M),13.72m,Individual
SP,"LaRoche, Cole",Ashland (M),16.50m,Individual
WT,"Janowicz, Brock",Ashland (M),20.30m,Individual
Hep,"Cory, Wyatt",Ashland (M),5160,Individual
60,"Rios, Hailey",Ashland (F),7.58,Individual
200,"Rios, Hailey",Ashland (F),24.72,Individual
300,"Gardner , Mia",Ashland (F),40.38,Individual
400,"Gardner , Mia",Ashland (F),55.39,Individual
600,"Jelaca, Katie",Ashland (F),1:50.50,Individual
800,"Woodruff, McKenna",Ashland (F),2:14.09,Individual
Mile,"Ponzi, Cassandra",Ashland (F),5:02.76,Individual
3000,"Dowdell, Lily",Ashland (F),10:08.29,Individual
5000,"Bero, Lauren",Ashland (F),18:37.65,Individual
60H,"Smith, Odessa",Ashland (F),8.62,Individual
4x400,"Elizabeth Adams, Maddie Stacey, Jade Avance, Mia Gardner",Ashland (F),3:44.87,Relay
DMR,"Lily Dowdell, Jade Avance, McKenna Woodruff, Cassandra Ponzi",Ashland (F),11:50.51,Relay
HJ,"Liberatore, Emma",Ashland (F),1.70m,Individual
PV,"Masuoka, Sarah",Ashland (F),3.91m,Individual
LJ,"Rios, Hailey",Ashland (F),5.86m,Individual
TJ,"Sheppert, Sidney",Ashland (F),11.07m,Individual
SP,"Kinsley, Kelsey",Ashland (F),14.78m,Individual
WT,"Pollock, Leslie",Ashland (F),18.19m,Individual
Pent,"Fields, Kara",Ashland (F),3406,Individual
60,"Alamia, Cameron",Southeastern U. (M),6.79,Individual
200,"Williamson III, James",Southeastern U. (M),21.27,Individual
400,"Taylor, Joseph",Southeastern U. (M),46.93,Individual
600,"Worrels, Davien",Southeastern U. (M),1:19.67,Individual
800,"Perez-Dunn, John",Southeastern U. (M),1:59.76,Individual
1000,"Fitzgerald , Jonathan",Southeastern U. (M),2:37.83,Individual
Mile,"Perez-Dunn, John",Southeastern U. (M),4:24.10,Individual
3000,"Perez-Dunn, John",Southeastern U. (M),8:28.76,Individual
5000,"Perez-Dunn, John",Southeastern U. (M),14:58.84,Individual
60H,"Guadiano, Cameron",Southeastern U. (M),7.97,Individual
4x400,"Davien Worrels, James Williamson III, Cameron Guadiano, Joseph Taylor",Southeastern U. (M),3:12.69,Relay
4x800,"Andrew Carrera, Elijah Carpenter, Tyler Moody, Spencer Louis",Southeastern U. (M),8:31.16,Relay
DMR,"Jonathan Fitzgerald, Davien Worrels, Andrew Carrera, John Perez-Dunn",Southeastern U. (M),10:31.97,Relay
HJ,"Rutledge, Jeremiah",Southeastern U. (M),1.98m,Individual
PV,"Parker, Kevin",Southeastern U. (M),4.55m,Individual
LJ,"Franklin, Keishon",Southeastern U. (M),7.02m,Individual
TJ,"Valentin, Joshuwa",Southeastern U. (M),13.56m,Individual
SP,"Manuel, Kyle",Southeastern U. (M),17.28m,Individual
WT,"Manuel, Kyle",Southeastern U. (M),15.34m,Individual
Hep,"Lopez, Vincent",Southeastern U. (M),4036,Individual
60,"Mendez, Irmiris",Southeastern U. (F),7.51,Individual
200,"Mendez, Irmiris",Southeastern U. (F),24.79,Individual
400,"Lawrence, Oluwafikayomi",Southeastern U. (F),57.13,Individual
600,"Rohm, Natalie",Southeastern U. (F),1:39.36,Individual
800,"Foreman, Sarah",Southeastern U. (F),2:19.50,Individual
1000,"Feder, Grace",Southeastern U. (F),3:02.85,Individual
Mile,"Foreman, Sarah",Southeastern U. (F),5:07.57,Individual
3000,"Foreman, Sarah",Southeastern U. (F),10:25.80,Individual
5000,"Foreman, Sarah",Southeastern U. (F),17:45.19,Individual
60H,"Mendez, Irmiris",Southeastern U. (F),8.49,Individual
4x400,"Ar'Briel Scott, Irmiris Mendez, Chelsee Martino, Oluwafikayom Lawrence",Southeastern U. (F),3:54.10,Relay
4x800,"Jillian Blaser, Brianna Sheppard, Grace Feder, Natalie Rohm",Southeastern U. (F),9:24.43,Relay
DMR,"Grace Feder, Irmiris Mendez, Jillian Blaser, Sarah Foreman",Southeastern U. (F),12:20.83,Relay
HJ,"Martino, Chelsee",Southeastern U. (F),1.39m,Individual
PV,"Sellers, Aubrey",Southeastern U. (F),3.10m,Individual
LJ,"Rohm, Natalie",Southeastern U. (F),5.08m,Individual
SP,"Terry, Emma",Southeastern U. (F),11.89m,Individual
WT,"Terry, Emma",Southeastern U. (F),15.28m,Individual
Pent,"Martino, Chelsee",Southeastern U. (F),2968,Individual
60,"Fuseini, Ibrahim",TAMU-Commerce (M),6.69,Individual
200,"Fuseini, Ibrahim",TAMU-Commerce (M),20.97,Individual
300,"Thomas, Tomlee",TAMU-Commerce (M),35.13,Individual
400,"Krenek, Philip",TAMU-Commerce (M),49.14,Individual
800,"Flores, Christopher",TAMU-Commerce (M),1:57.74,Individual
1000,"Johnson, Kai",TAMU-Commerce (M),2:38.33,Individual
Mile,"Novelo, Casey",TAMU-Commerce (M),4:17.41,Individual
3000,"Speer, John",TAMU-Commerce (M),8:35.54,Individual
5000,"Garcia, Jeremiah",TAMU-Commerce (M),15:05.74,Individual
60H,"Davis, Zayden",TAMU-Commerce (M),8.02,Individual
4x400,"Eddie Barrientes, Oguz Uyar, Enoch Fosuhene, Ibrahim Fuseini",TAMU-Commerce (M),3:18.74,Relay
DMR,"Eddie Barrientes, Philip Krenek, Oguz Uyar, Ibrahim Fuseini",TAMU-Commerce (M),10:38.47,Relay
HJ,"Ferdinand, Micky",TAMU-Commerce (M),2.06m,Individual
PV,"Strogalev, Nikita",TAMU-Commerce (M),4.65m,Individual
LJ,"Vincent, Justin",TAMU-Commerce (M),7.18m,Individual
TJ,"Tolliver, Tahje",TAMU-Commerce (M),14.73m,Individual
SP,"Brown, Patrick",TAMU-Commerce (M),13.19m,Individual
WT,"Escamilla, Dominic",TAMU-Commerce (M),13.97m,Individual
Hep,"Nate , Joshua",TAMU-Commerce (M),3676,Individual
60,"Brown, Kiara",TAMU-Commerce (F),7.28,Individual
200,"Brown, Kiara",TAMU-Commerce (F),23.34,Individual
300,"Brown, Kiara",TAMU-Commerce (F),38.43,Individual
400,"Gee, Oriana",TAMU-Commerce (F),56.77,Individual
800,"Campo, Magdaline",TAMU-Commerce (F),2:34.73,Individual
Mile,"Randma, Anete",TAMU-Commerce (F),5:07.24,Individual
3000,"Randma, Anete",TAMU-Commerce (F),10:23.62,Individual
60H,"Morgan, Charidee",TAMU-Commerce (F),9.21,Individual
4x400,"Oriana Gee, Leah Pettis, Cece Charles, Ashley Benton",TAMU-Commerce (F),3:51.73,Relay
DMR,"Emma Phillips, Analice Pursley, Alondra Campa, Haleigh Risner",TAMU-Commerce (F),13:24.10,Relay
HJ,"Jacobie, Jenneil",TAMU-Commerce (F),1.75m,Individual
LJ,"Sela, Celeste",TAMU-Commerce (F),5.97m,Individual
TJ,"Fuller, Dejah",TAMU-Commerce (F),12.19m,Individual
SP,"Rendon, Cassandra",TAMU-Commerce (F),11.84m,Individual
WT,"Rendon, Cassandra",TAMU-Commerce (F),11.80m,Individual
Pent,"Campo, Magdaline",TAMU-Commerce (F),3240,Individual
55,"Smith, Kameron",Augsburg (M),6.83,Individual
60,"Smith, Kameron",Augsburg (M),7.35(55),Individual
200,"Abdi, Hassan",Augsburg (M),24.75#,Individual
400,"Clement, Emmanuel",Augsburg (M),52.72#,Individual
600,"Asfaw, Getinat",Augsburg (M),1:23.82,Individual
800,"Asfaw, Getinat",Augsburg (M),1:55.75#,Individual
1000,"Bati, Mohammed",Augsburg (M),2:34.71,Individual
Mile,"Bati, Mohammed",Augsburg (M),4:11.99#,Individual
3000,"Bati, Mohammed",Augsburg (M),8:18.51#,Individual
5000,"Bati, Mohammed",Augsburg (M),14:28.37#,Individual
4x400,"Emmanuel Clement, Shareef Oty, Bereket Wondimu, Getinat Asfaw",Augsburg (M),3:28.93#,Relay
DMR,"Zinabu Engstrom, Shareef Oty, Bereket Wondimu, Mohammed Bati",Augsburg (M),10:57.27#,Relay
LJ,"Smith, Kameron",Augsburg (M),6.40m,Individual
TJ,"Smith, Kameron",Augsburg (M),13.19m,Individual
SP,"DeLoach, Corey",Augsburg (M),11.23m,Individual
55,"Campbell, Takia",Augsburg (F),7.97,Individual
60,"Hookom, Allison",Augsburg (F),8.33,Individual
200,"Hookom, Allison",Augsburg (F),26.56#,Individual
400,"Hookom, Allison",Augsburg (F),57.06#,Individual
600,"Hookom, Allison",Augsburg (F),1:35.71,Individual
800,"Lantz, Annabel",Augsburg (F),3:07.91#,Individual
Mile,"Johnson, Gracie",Augsburg (F),5:25.70#,Individual
3000,"Johnson, Gracie",Augsburg (F),10:38.41#,Individual
5000,"Johnson, Gracie",Augsburg (F),18:25.59#,Individual
55,"Piontek, Sam",Wis.-Eau Claire (M),6.54,Individual
60,"Klechefski, Stefan",Wis.-Eau Claire (M),6.77,Individual
200,"McClowry, Colin",Wis.-Eau Claire (M),21.77#,Individual
400,"Eisenzimmer, Kevin",Wis.-Eau Claire (M),48.19#,Individual
600,"Ziebell, Josiah",Wis.-Eau Claire (M),1:21.10,Individual
800,"Verkerke, Sam",Wis.-Eau Claire (M),1:49.95#,Individual
1000,"Stegeman, Mitch",Wis.-Eau Claire (M),2:45.48,Individual
Mile,"Verkerke, Sam",Wis.-Eau Claire (M),4:06.84#,Individual
3000,"Shea, Mason",Wis.-Eau Claire (M),8:22.63#,Individual
5000,"Feltz, Cooper",Wis.-Eau Claire (M),15:12.42#,Individual
55H,"Foland, Max",Wis.-Eau Claire (M),7.96,Individual
60H,"Foland, Max",Wis.-Eau Claire (M),8.41,Individual
4x400,"Sam Schreiber, Kevin Eisenzimmer, Colin McClowry, Josiah Ziebell",Wis.-Eau Claire (M),3:14.18#,Relay
DMR,"Mason Shea, Kevin Eisenzimmer, Josiah Ziebell, Sam Verkerke",Wis.-Eau Claire (M),9:43.94#,Relay
HJ,"Keller, Wes",Wis.-Eau Claire (M),2.07m,Individual
PV,"Bauer, Isaiah",Wis.-Eau Claire (M),4.87m,Individual
LJ,"Odom, Nick",Wis.-Eau Claire (M),6.71m,Individual
TJ,"Weigel, Conner",Wis.-Eau Claire (M),12.84m,Individual
SP,"Ekoue, Yakob",Wis.-Eau Claire (M),18.79m,Individual
WT,"Ekoue, Yakob",Wis.-Eau Claire (M),20.11m,Individual
Hep,"Stegeman, Mitch",Wis.-Eau Claire (M),5413#,Individual
55,"Kallenbach, Molly",Wis.-Eau Claire (F),7.35,Individual
60,"Schueller, Hope",Wis.-Eau Claire (F),7.86,Individual
200,"Kakes, Allyson",Wis.-Eau Claire (F),25.23#,Individual
400,"Grabarski, Kylee",Wis.-Eau Claire (F),59.09#,Individual
800,"Schueth, Anna",Wis.-Eau Claire (F),2:13.08#,Individual
Mile,"Hady, Mikayla",Wis.-Eau Claire (F),5:00.08#,Individual
3000,"Forman, Christi",Wis.-Eau Claire (F),10:08.49#,Individual
5000,"Matejcek, Ava",Wis.-Eau Claire (F),17:51.57#,Individual
55H,"Booker, Emilee",Wis.-Eau Claire (F),8.53,Individual
60H,"Booker, Emilee",Wis.-Eau Claire (F),8.72,Individual
4x400,"Michaela Dick, Emilee Booker, Jaryn Johannsen, Jane Kautz",Wis.-Eau Claire (F),3:56.42#,Relay
DMR,"Anna Schueth, Kylee Grabarski, Paige Morrell, Mikayla Hady",Wis.-Eau Claire (F),11:51.07#,Relay
HJ,"Williamson, Ella",Wis.-Eau Claire (F),1.63m,Individual
PV,"Fleeharty, Ayden",Wis.-Eau Claire (F),3.82m,Individual
LJ,"Booker, Emilee",Wis.-Eau Claire (F),5.55m,Individual
TJ,"Kallenbach, Molly",Wis.-Eau Claire (F),11.04m,Individual
SP,"Behnke, Kayla",Wis.-Eau Claire (F),13.94m,Individual
WT,"Stecher, Raina",Wis.-Eau Claire (F),18.30m,Individual
Pent,"Booker, Emilee",Wis.-Eau Claire (F),3438#,Individual
60,"Edland, Dylan",Wis.-Stout (M),7.05,Individual
200,"Edland, Dylan",Wis.-Stout (M),22.72#,Individual
400,"Dick, Brandon",Wis.-Stout (M),49.70#,Individual
600,"Schulte, Nick",Wis.-Stout (M),1:27.32,Individual
800,"Green, Silas",Wis.-Stout (M),1:53.79#,Individual
1000,"Dick, Brandon",Wis.-Stout (M),2:44.45,Individual
Mile,"Thomas, Matthew",Wis.-Stout (M),4:15.11#,Individual
3000,"Thomas, Matthew",Wis.-Stout (M),8:18.02#,Individual
5000,"Thomas, Matthew",Wis.-Stout (M),14:25.30#,Individual
60H,"Casey, Thomas",Wis.-Stout (M),8.17,Individual
4x400,"Kaden Martin, Nolan Zachgo, Zackery Ihde, Kory Wiegert",Wis.-Stout (M),3:25.31#,Relay
DMR,"Alex Suelflow, Kory Wiegert, Silas Green, Nick Stitzer",Wis.-Stout (M),10:06.65#,Relay
HJ,"Davis, Lawson",Wis.-Stout (M),1.95m,Individual
PV,"Knox, Sam",Wis.-Stout (M),4.77m,Individual
LJ,"Flood Elyafi, Noah",Wis.-Stout (M),6.87m,Individual
TJ,"Flood Elyafi, Noah",Wis.-Stout (M),14.13m,Individual
SP,"Rashke, Karter",Wis.-Stout (M),16.52m,Individual
WT,"Walechka, Connor",Wis.-Stout (M),20.30m,Individual
Hep,"Dick, Brandon",Wis.-Stout (M),4777#,Individual
60,"Driscoll, Jenna",Wis.-Stout (F),7.78,Individual
200,"Roberts, Lilly",Wis.-Stout (F),25.95#,Individual
400,"Tvedt, Corrina",Wis.-Stout (F),58.86#,Individual
600,"Tvedt, Corrina",Wis.-Stout (F),1:42.41,Individual
800,"Lammert, Brekkyn",Wis.-Stout (F),2:20.20#,Individual
Mile,"Felton, Mckayla",Wis.-Stout (F),4:59.22#,Individual
3000,"Felton, Mckayla",Wis.-Stout (F),9:38.18#,Individual
5000,"Felton, Mckayla",Wis.-Stout (F),17:07.68,Individual
60H,"Zastrow, Hannah",Wis.-Stout (F),8.50,Individual
4x400,"Corrina Tvedt, Brekkyn Lammert, Hailey Krueger, Lilly Roberts",Wis.-Stout (F),4:05.54#,Relay
DMR,"Mckayla Felton, Corrina Tvedt, Brekkyn Lammert, Olivia Donohue",Wis.-Stout (F),11:51.80#,Relay
HJ,"Zastrow, Hannah",Wis.-Stout (F),1.68m,Individual
PV,"Zastrow, Leah",Wis.-Stout (F),4.01m,Individual
